地震時間,規模,深度
2000,1.8,16.42
2000,2.12,22.19
2000,3.35,30.62
2000,1.68,13.4
2000,1.34,0.78
2000,2.46,10.45
2000,2.8,57.37
2000,1.85,5.98
2000,2.66,69.09
2000,1.94,7.93
2000,2.07,27
2000,2.43,8.67
2000,1.53,1.93
2000,2.31,21.99
2000,2.31,20.87
2000,2.79,9.61
2000,1.6,6
2000,1.98,7.18
2000,2.36,13.39
2000,1.76,3.86
2000,2.62,12.16
2000,3.18,93.82
2000,2.85,6.55
2000,2.11,3.78
2000,2.12,14.16
2000,1.74,11.16
2000,3.18,13.5
2000,2.42,13.56
2000,2.89,13.39
2000,2.46,11.98
2000,1.98,14.89
2000,2.31,14.21
2000,5.21,64.12
2000,1.7,9.8
2000,1.8,13.83
2000,2.28,66.23
2000,1.99,8.62
2000,2.79,24.86
2000,3.33,48.6
2000,3.21,8
2000,2.55,10.99
2000,2.25,10.69
2000,2.05,7.86
2000,2.88,73.82
2000,1.92,11.77
2000,2.75,101.7
2000,2.21,13.21
2000,3.28,13.73
2000,5.21,13.31
2000,2.63,6.46
2000,2.44,6.42
2000,2.86,5.29
2000,1.52,2.7
2000,1.51,8
2000,3.55,13.88
2000,3.19,85.88
2000,2.72,4.66
2000,2.1,6.79
2000,2.66,18.74
2000,1.8,11.48
2000,2.61,6.99
2000,2.86,13.97
2000,1.22,8.35
2000,2.64,13.22
2000,1.67,18.88
2000,2.66,14.63
2000,1.83,5.81
2000,1.51,7.92
2000,1.52,9.71
2000,2.44,13
2000,2.1,13.49
2000,2.55,24.69
2000,2.69,15.02
2000,3.26,9.96
2000,2.16,6.21
2000,1.76,15.03
2000,2.4,26.72
2000,2.57,68.59
2000,3.36,15.59
2000,3.21,4.57
2000,2.42,23.1
2000,1.66,8.88
2000,1.44,7.71
2000,2.51,41.52
2000,2.22,10.18
2000,2.02,12
2000,1.92,8.81
2000,3.25,6.22
2000,3.03,15.18
2000,3.36,11.56
2000,5.26,6.96
2000,3.66,29.6
2000,2.17,9.88
2000,2.28,7.71
2000,1.73,7.85
2000,1.11,9.89
2000,1.87,17.47
2000,1.49,3.18
2000,1.73,14.08
2000,1.58,10.99
2000,1.97,11.34
2000,2.94,9.18
2000,2.89,20.4
2000,2.71,22.7
2000,2.28,5.44
2000,2.61,4.66
2000,3.04,14.29
2000,2.23,13.49
2000,2.85,9.5
2000,1.96,10.89
2000,2.03,10.9
2000,1.53,9.4
2000,1.84,12.15
2000,1.57,12.18
2000,2.79,23.08
2000,1.33,9.7
2000,2.73,29.21
2000,1.64,6.66
2000,2.33,29.4
2000,3.16,17.12
2000,1.96,13.07
2000,1.82,11.45
2000,1.24,8.9
2000,2.07,7.74
2000,2.38,17.35
2000,1.7,9.72
2000,2.83,20.28
2000,2.87,11.78
2000,2.57,9.91
2000,2.2,15
2000,2.6,39.81
2000,1.79,8.5
2000,1.58,12.49
2000,3.79,0.17
2000,2.04,7.24
2000,1.94,13.38
2000,2.17,23.59
2000,2.6,10
2000,1.83,21.57
2000,2.22,10.48
2000,2.01,15.83
2000,2.54,14.43
2000,1.75,6.39
2000,2.3,14.35
2000,3.23,6.36
2000,3.14,6.27
2000,3.06,5.79
2000,2.37,5.78
2000,1.75,15.69
2000,2.87,14.97
2000,2.93,16.31
2000,3.66,15.36
2000,2.03,6.86
2000,2.32,11.64
2000,5.28,9.23
2000,2.74,16.3
2000,2.95,14.99
2000,2.37,5.74
2000,1.85,0.41
2000,2.84,6.47
2000,1.9,7.02
2000,1.68,15.25
2000,2.55,21.3
2000,1.57,12.94
2000,1.55,7.46
2000,1.45,12.53
2000,2.12,31.44
2000,2.02,13.43
2000,2.11,24.06
2000,2.39,6.96
2000,2.36,17.62
2000,1.84,5.93
2000,2.08,25.39
2000,2.45,33.89
2000,1.97,0.21
2000,1.75,3.68
2000,1.79,10.69
2000,2.39,6.57
2000,1.31,7.48
2000,2.57,9
2000,2.49,10.12
2000,1.88,5.46
2000,1.78,16.35
2000,2.07,11.3
2000,2.04,32.17
2000,2.14,7.53
2000,2.8,7.69
2000,1.96,4.57
2000,2.61,3.64
2000,2.21,6.46
2000,2.61,4.2
2000,1.85,3.16
2000,2.15,3.3
2000,2.52,5.72
2000,2.94,104.88
2000,2.82,12.45
2000,1.82,10.36
2000,1.71,6.44
2000,2.48,5.86
2000,1.87,11.3
2000,1.99,6.42
2000,2.73,21.24
2000,2,20.34
2000,2.58,23.34
2000,2.31,7.16
2000,2.25,7.66
2000,2.29,6.58
2000,2.37,4.37
2000,1.72,0.04
2000,2.15,11.81
2000,2.02,2.34
2000,2.28,4.91
2000,1.61,8.16
2000,2.46,8.7
2000,2.66,20.78
2000,1.7,6.32
2000,1.38,3.76
2000,3.23,32.25
2000,1.83,12.78
2000,2.12,31.4
2000,2.61,45.08
2000,2.28,5.78
2000,2.26,6.56
2000,1.77,6.66
2000,1.9,10.06
2000,1.67,5.24
2000,2.17,10
2000,1.4,8.61
2000,2.42,15.95
2000,3.39,28.57
2000,1.91,48.88
2000,1.8,10.62
2000,1.59,2.39
2000,4.9,182
2000,5.57,158.11
2000,1.83,12.57
2000,2.08,8.81
2000,1.89,6.32
2000,1.66,9.64
2000,2.37,3.47
2000,2.18,11.64
2000,3.11,13.8
2000,0.99,10.64
2000,1.78,8.58
2000,2.6,10.49
2000,1.63,9.42
2000,1.49,14.14
2000,1.98,14.07
2000,3.3,11.51
2000,3.26,9.88
2000,3.27,9.88
2000,1.75,9.37
2000,1.86,5.63
2000,1.92,10.36
2000,2.39,10.05
2000,3.14,63.77
2000,2.74,11.88
2000,2.3,9.9
2000,2.35,40.53
2000,1.23,3.57
2000,1.72,13.98
2000,2.46,8.16
2000,2.06,10.38
2000,1.79,6.6
2000,2.17,29.68
2000,2.54,46.25
2000,1.65,32.54
2000,3,7.14
2000,2.73,4.29
2000,2.18,8.76
2000,2.22,9.4
2000,2.07,11.27
2000,2.21,6.79
2000,2.7,70.97
2000,2.35,7.3
2000,1.82,10.78
2000,2.21,6.16
2000,2.54,8.52
2000,2,26.4
2000,1.91,6.65
2000,3.15,8.53
2000,1.84,10.36
2000,2.99,20
2000,1.54,10.79
2000,2.25,20.61
2000,2.48,21.18
2000,2.75,15.22
2000,2.78,14.7
2000,2.44,10.37
2000,1.73,9.31
2000,2.82,9.77
2000,2.25,14.58
2000,2.99,3.19
2000,2.21,10.68
2000,2.25,29.64
2000,2.19,27.36
2000,3.56,27.23
2000,2.73,2.85
2000,2.28,11.94
2000,2.05,14.5
2000,2.16,7.13
2000,1.43,8.07
2000,1.77,11.09
2000,2.18,7.66
2000,1.95,32.22
2000,3,8.27
2000,1.8,12.85
2000,2.52,47.55
2000,2.53,23.29
2000,1.48,9.89
2000,2.61,31.87
2000,2.2,8.34
2000,3,5.36
2000,2.83,10.13
2000,3.43,0.45
2000,2.19,13.97
2000,2.94,12.33
2000,2.68,7.12
2000,2.79,4.28
2000,2.12,6.2
2000,2.34,10.23
2000,1.95,4.58
2000,2.6,2.79
2000,1.9,2.72
2000,2.89,6.71
2000,2.73,7.49
2000,3.11,11.77
2000,2.95,9.13
2000,2.4,16.47
2000,1.92,17.85
2000,2.45,27.92
2000,1.8,9.85
2000,2.5,24.96
2000,2.1,1.72
2000,2.59,14.32
2000,1.82,14.79
2000,2.08,15.98
2000,2.75,17.18
2000,2.68,6
2000,1.66,15.16
2000,2.04,10.72
2000,1.81,10.75
2000,2.06,15.75
2000,1.84,8.66
2000,2.77,14.84
2000,1.62,10.65
2000,2.12,8.5
2000,2.59,3.93
2000,1.97,6.27
2000,1.94,10.54
2000,1.49,11.25
2000,3.54,7.28
2000,2.63,3.61
2000,1.95,14.37
2000,1.86,11.4
2000,2.14,19.82
2000,1.67,21.06
2000,2.63,73.07
2000,2.75,4.88
2000,3.71,10.49
2000,2.39,60.85
2000,1.74,10.54
2000,1.92,12.88
2000,1.93,31.47
2000,1.76,14.42
2000,1.32,12.3
2000,1.18,11.04
2000,1.84,8.06
2000,1.82,5.74
2000,1.86,11.27
2000,3.14,6.55
2000,3.02,5.41
2000,1.89,2.72
2000,2.55,11.25
2000,3.91,13.01
2000,2.18,14.81
2000,2.53,23.04
2000,1.84,12.51
2000,2.15,13.96
2000,2.12,11.8
2000,1.9,12.22
2000,2.28,15.47
2000,2.42,9.79
2000,2.82,7.38
2000,2.54,10
2000,2.02,6.34
2000,1.86,18.26
2000,1.14,7.37
2000,2.88,16.65
2000,2.52,13.75
2000,1.87,12.29
2000,2.12,5.87
2000,1.71,10.35
2000,3.18,8.08
2000,1.49,6.75
2000,2.74,4.43
2000,2.45,13.08
2000,1.81,19.2
2000,1.75,10.82
2000,3.11,44.26
2000,1.92,5.63
2000,1.22,10.9
2000,3.26,59.77
2000,2.08,16.17
2000,2.11,44.68
2000,1.42,12.34
2000,1.88,3.13
2000,2.63,11.79
2000,2.27,15.36
2000,1.78,12.45
2000,1.7,33.61
2000,2.63,11.04
2000,1.89,6.09
2000,3.38,16.45
2000,1.94,15.86
2000,4.69,13.28
2000,3.47,5.09
2000,1.4,8.4
2000,2.17,21.74
2000,2.65,26.64
2000,2.42,8.11
2000,2.28,5.57
2000,1.76,13.17
2000,1.88,11.31
2000,3.33,6.45
2000,1.86,5.91
2000,1.82,10.02
2000,2.27,4.91
2000,2.59,17.57
2000,1.48,14.64
2000,2.72,6.52
2000,1.77,13.28
2000,2.07,11.41
2000,2.42,17.44
2000,2.87,76.82
2000,2.08,6.23
2000,1.97,16.61
2000,1.15,9.65
2000,2.19,7.35
2000,2.03,11.77
2000,2.31,7.09
2000,2.1,0.57
2000,2.15,17
2000,1.39,9.99
2000,1.42,7.07
2000,3.43,224.36
2000,2.3,28.88
2000,2.92,18.41
2000,1.39,1.02
2000,2.39,20.25
2000,1.66,7.2
2000,2.37,8.44
2000,3.32,12.61
2000,1.65,3.86
2000,2.61,24.43
2000,2.26,14.69
2000,2.15,7.58
2000,1.61,9.23
2000,1.76,8.93
2000,2.71,15.89
2000,1.59,3.06
2000,1.55,8.2
2000,1.58,14.87
2000,2.7,4.84
2000,2.15,4.9
2000,2.77,5.7
2000,1.59,5.81
2000,2.68,3.1
2000,2.89,6.18
2000,2.14,8.53
2000,2.43,16.97
2000,1.57,21.77
2000,3.36,14.86
2000,2.38,10.72
2000,2.14,3.14
2000,2.32,24.83
2000,2.47,8.31
2000,2.2,8.46
2000,2.14,8.38
2000,3.7,74.6
2000,2.74,36.44
2000,2.65,3.26
2000,1.82,11.63
2000,3.62,140.86
2000,1.62,15.31
2000,2.99,6.24
2000,2.53,19.35
2000,2.49,6.8
2000,2.25,8.95
2000,4.3,20
2000,2.56,7.14
2000,1.19,13.22
2000,1.81,12.24
2000,1.95,17.24
2000,2.67,9.28
2000,1.61,8.41
2000,1.84,13.25
2000,1.6,8.73
2000,1.86,3.27
2000,1.84,21.31
2000,2.16,0.91
2000,1.59,11.42
2000,2.23,5.65
2000,2.25,73.67
2000,1.52,6.25
2000,2.23,0.92
2000,2.09,7.9
2000,1.53,9.97
2000,2.59,17.76
2000,2.97,5.44
2000,1.91,3.83
2000,2.66,28.05
2000,2.86,8.23
2000,1.39,8.25
2000,1.61,5.12
2000,1.85,14.21
2000,1.77,6.18
2000,2.39,19.69
2000,2.54,29.98
2000,2.53,11.64
2000,3.2,5.37
2000,1.37,12.95
2000,1.55,8.51
2000,2.03,8.39
2000,1.93,19.82
2000,1.75,16.25
2000,2.42,4.98
2000,2.05,5.56
2000,2.9,3
2000,2.61,2
2000,3.32,78.26
2000,2.45,22.1
2000,3.65,44.06
2000,1.96,8.01
2000,2.33,26.1
2000,1.66,13.85
2000,3.14,9.88
2000,1.24,4.56
2000,1.91,7.71
2000,3.3,109.15
2000,2.4,13.65
2000,1.53,6.11
2000,2.36,28.61
2000,1.78,30.34
2000,0.75,6.56
2000,1.52,12.01
2000,2.01,22.22
2000,1.71,5.93
2000,2.07,14.66
2000,2.37,16.8
2000,1.64,8.06
2000,2.08,15.77
2000,1.13,9.22
2000,2.3,6.72
2000,1.51,14.24
2000,1.72,4.41
2000,2.03,11.63
2000,2.17,3.66
2000,2.42,6.48
2000,2.22,23.48
2000,1.96,26.41
2000,3.46,52.1
2000,1.77,12.55
2000,2.37,53.98
2000,1.69,4.92
2000,1.56,14.96
2000,4.26,37.41
2000,1.55,10.25
2000,2.86,18.99
2000,1.91,10.89
2000,2.1,25.97
2000,1.87,10.78
2000,2.8,19.26
2000,2.66,18.44
2000,2.26,8.7
2000,2.78,10.84
2000,2.78,17.5
2000,3.26,115.51
2000,1.88,6.8
2000,1.68,7.16
2000,2.82,11
2000,2.43,13.47
2000,2.65,8.98
2000,2.2,18.79
2000,3.71,11.01
2000,3.1,15.95
2000,2.68,12.5
2000,2.85,39.31
2000,2.83,5.12
2000,2.38,11.58
2000,2.13,0.32
2000,1.87,7.24
2000,1.52,5.57
2000,1.29,5.25
2000,3.22,43.22
2000,2.94,67.16
2000,1.41,6.15
2000,2.36,14.03
2000,1.64,18.67
2000,2.17,10.45
2000,2.81,28.31
2000,2.92,30.02
2000,2.4,4.49
2000,1.36,17.32
2000,1.91,8.78
2000,1.87,20.44
2000,2.24,17.63
2000,2.72,34.72
2000,1.78,7.43
2000,3.08,10
2000,1.98,11.33
2000,1.43,7.85
2000,2.23,51.38
2000,2.17,21.74
2000,2.19,11.91
2000,3.23,11.51
